listing_id,zipcode,longitude,latitude,listings_review_score,occupancy_rate,location_score
9030337,75014,2.3175854606225443,48.83367374127866,77.752,0.0,0.5252192982456141
16792317,75014,2.328891204102493,48.8315043645005,75.877,0.3169549027720314,0.6403508771929824
6181774,75010,2.3536747048913185,48.87420350531949,86.502,0.6456488760171011,0.5252192982456141
1354530,75009,2.3435499364224057,48.87437691405868,70.752,0.13583781547372778,0.7236842105263158
6792520,75020,2.3944979379186826,48.86395534838813,72.377,0.0,0.5131578947368421
4646817,75020,2.394283412303675,48.87571141019549,74.377,0.0,0.5087719298245614
11746828,75017,2.324296803538546,48.8957450455093,78.753,0.0,0.5219298245614035
20663616,75010,2.365974870614372,48.872583933265574,88.127,0.25356392221762514,0.5614035087719298
24211909,75018,2.3330589826817905,48.89328604286815,72.252,0.1584774513860157,0.5339912280701754
1656004,75011,2.3750295480401364,48.858690270783555,73.127,0.2179064956557716,0.5570175438596491
23352960,75017,2.3110221862225084,48.88475195449135,78.752,0.0,0.5482456140350878
13791115,75010,2.3641468277779047,48.87555245560549,66.752,0.0,0.4364035087719298
2920928,75020,2.398041839133189,48.86235929737752,77.002,0.3395945386843196,0.4506578947368421
5159608,75005,2.348393170024754,48.851145465427244,72.002,0.15013653289201487,0.9254385964912281
16902321,75020,2.3992006854001167,48.85266937915043,75.752,0.0,0.4550438596491228
7032887,75018,2.3280176226428693,48.886470181187974,69.752,0.21130326851468764,0.6447368421052632
7715035,75020,2.391422038663873,48.873618734905406,86.252,0.12402583151949055,0.5087719298245614
13907334,75009,2.341551472214865,48.88279622738665,69.753,0.06339098055440627,0.6622807017543859
2091821,75002,2.3414977256708607,48.87096401450737,75.00399999999999,0.9684733140256515,0.7192982456140351
1210743,75020,2.399750726359108,48.85169580241532,65.627,0.14407041035092338,0.5175438596491229
9692613,75011,2.3799616509126427,48.86224949793197,75.502,0.21130326851468764,0.4725877192982456
107038,75018,2.345141265615688,48.88568755806703,85.502,0.4618485726106744,0.5734649122807017
22045800,75018,2.357123053602331,48.88736819128336,72.752,0.0,0.4682017543859649
3176995,75018,2.3476085484558005,48.890935808048,76.877,0.07043442283822923,0.5296052631578947
11322176,75002,2.347169355323332,48.868938237139844,70.252,0.49444964832436905,0.7412280701754386
20955528,75020,2.3888569752106736,48.87088041910493,72.378,0.1584774513860157,0.44627192982456143
727265,75015,2.291319045048454,48.837748223424136,83.377,0.25752585850227555,0.4594298245614035
22008966,75011,2.373504070440661,48.852353363827454,74.877,0.0,0.5614035087719298
4221469,75003,2.3629437979497308,48.86096480120718,73.252,0.07923872569300786,0.7149122807017544
612563,75011,2.3714841219602403,48.86028958664721,77.502,0.03961936284650393,0.5657894736842105
836235,75011,2.387270933531697,48.85472567927144,85.502,0.6607703905247436,0.4594298245614035
7302724,75011,2.379573129559505,48.851759399104935,74.877,0.23771617707902357,0.543859649122807
449093,75002,2.3495061704594704,48.87013389001978,78.127,0.12451799751758376,0.6041666666666666
23667847,75012,2.4016188987729903,48.84747903893183,69.627,0.21130326851468764,0.4682017543859649
1205169,75012,2.3943017949075176,48.84708555412486,84.627,0.9004400646932712,0.5263157894736842
4639912,75010,2.3544638693717794,48.87047976172491,67.877,0.6933388498138188,0.618421052631579
